group	SYMBOL.Mm	Species
Brain	Fam131b	Rat
Esophagus	Dsc3	Rat
Liver	Cyp27a1	Rat
Brain	Lingo1	Rat
Brain	Tubb3	Rat
Liver	Plg	Rat
Brain	Ppme1	Rat
Liver	Sord	Rat
Kidney	Sord	Rat
Brain	Sh3glb2	Rat
Kidney	Pter	Rat
Brain	Syt4	Rat
Brain	Itm2c	Rat
Liver	Itih4	Rat
Kidney	Ppic	Rat
Brain	Map1b	Rat
Ileum	Lat	Rat
Brain	6430548M08Rik	Rat
Brain	Nrsn1	Rat
Brain	Cnp	Rat
Heart	Mylk3	Rat
Brain	Tubb2a	Rat
Brain	Rit2	Rat
Liver	Fbp1	Rat
Kidney	Fbp1	Rat
Liver	Srd5a1	Rat
Pancreas	P2rx1	Rat
Esophagus	Mylpf	Rat
Quadriceps	Mylpf	Rat
Brain	Brsk1	Rat
Brain	Itih3	Rat
Liver	Itih3	Rat
Brain	Abi2	Rat
Ileum	Mxd1	Rat
Duodenum	Mxd1	Rat
Jejunum	Mxd1	Rat
Pancreas	Pnlip	Rat
Ileum	Nudt5	Rat
Duodenum	Nudt5	Rat
Jejunum	Nudt5	Rat
Kidney	Car12	Rat
Ileum	Slc5a1	Rat
Duodenum	Slc5a1	Rat
Jejunum	Slc5a1	Rat
Kidney	Akr7a5	Rat
Esophagus	Acta1	Rat
Quadriceps	Acta1	Rat
Liver	Agxt2	Rat
Kidney	Agxt2	Rat
Ileum	Cd53	Rat
Kidney	Acy3	Rat
Pancreas	Pnliprp1	Rat
Ileum	Cdhr2	Rat
Duodenum	Cdhr2	Rat
Jejunum	Cdhr2	Rat
Brain	Chn1	Rat
Ileum	Optn	Rat
Duodenum	Optn	Rat
Jejunum	Optn	Rat
Heart	Nudt8	Rat
Heart	Gm49405	Rat
Pancreas	Pnliprp2	Rat
Brain	Apbb1	Rat
Kidney	Ddx19a	Rat
Brain	Sncb	Rat
Liver	Slc22a8	Rat
Kidney	Slc22a8	Rat
Brain	Slc12a5	Rat
Kidney	Slc16a4	Rat
Quadriceps	Prkab2	Rat
Kidney	Lamtor5	Rat
Brain	Gad2	Rat
Kidney	Slc22a6	Rat
Brain	Syt5	Rat
Stomach	Cym	Rat
Heart	Tnni3	Rat
Liver	Hpx	Rat
Liver	Gstp3	Rat
Brain	Aak1	Rat
Brain	Caly	Rat
Brain	Pld3	Rat
Brain	Cpne6	Rat
Liver	Apoc2	Rat
Liver	Gm44805	Rat
Liver	Apoc4	Rat
Liver	Apoa5	Rat
Brain	Ggt7	Rat
Brain	Agt	Rat
Liver	Agt	Rat
Ileum	Prap1	Rat
Duodenum	Prap1	Rat
Jejunum	Prap1	Rat
Esophagus	Rabep2	Rat
Quadriceps	Rabep2	Rat
Stomach	Gpr155	Rat
Quadriceps	Ppp1r3c	Rat
Heart	Cidea	Rat
Brain	Dlg4	Rat
Stomach	Atp4b	Rat
Brain	Retreg2	Rat
Heart	Ankrd1	Rat
Brain	Plekhb1	Rat
Esophagus	Ampd1	Rat
Quadriceps	Ampd1	Rat
Kidney	Amacr	Rat
Liver	Amacr	Rat
Stomach	Rptn	Rat
Esophagus	Rptn	Rat
Liver	Asgr1	Rat
Brain	Mobp	Rat
Brain	Camk2a	Rat
Brain	Jph3	Rat
Brain	Bcan	Rat
Stomach	Slc5a5	Rat
Brain	Ntrk2	Rat
Brain	Ttc9b	Rat
Liver	Hc	Rat
Heart	Tnnc1	Rat
Kidney	Sema3g	Rat
Stomach	Mt4	Rat
Esophagus	Mt4	Rat
Ileum	Reg4	Rat
Duodenum	Reg4	Rat
Jejunum	Reg4	Rat
Pancreas	Ctrb1	Rat
Stomach	Hsd17b3	Rat
Kidney	Slc13a3	Rat
Colon	Hmgcs2	Rat
Liver	Hmgcs2	Rat
Brain	Stx1b	Rat
Brain	Shank1	Rat
Brain	Vamp1	Rat
Brain	Cck	Rat
Liver	Sult1a1	Rat
Pancreas	Psmb10	Rat
Kidney	Pcx	Rat
Liver	Pcx	Rat
Kidney	Aspdh	Rat
Liver	Aspdh	Rat
Ileum	Coro1a	Rat
Esophagus	Lypd5	Rat
Brain	Rab3a	Rat
Brain	Psd	Rat
Colon	Smtn	Rat
Liver	Hao2	Rat
Kidney	Hao2	Rat
Liver	Cyp8b1	Rat
Brain	Gnao1	Rat
Duodenum	Tm4sf5	Rat
Jejunum	Tm4sf5	Rat
Duodenum	Slc11a2	Rat
Jejunum	Slc11a2	Rat
